Timestamp,Street,Direction,Speed (KM/Hr),DeviceId
2026-06-28T16:06:26.672Z,Ferry Street,E,38,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:06:32.449Z,Ferry Street,E,50,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:06:36.983Z,Ferry Street,E,44,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:06:41.351Z,Ferry Street,E,56,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:06:49.646Z,Ferry Street,E,52,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:07:12.129Z,Ferry Street,E,53,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:07:22.126Z,Ferry Street,W,34,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:07:25.911Z,Ferry Street,W,37,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:07:30.045Z,Ferry Street,W,35,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:07:35.564Z,Ferry Street,W,38,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:07:47.397Z,Ferry Street,E,48,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:07:50.980Z,Ferry Street,E,50,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:07:55.130Z,Ferry Street,E,46,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:07:58.346Z,Ferry Street,W,52,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:08:12.896Z,Ferry Street,E,56,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:08:18.961Z,Ferry Street,E,57,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:08:27.030Z,Ferry Street,W,50,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:08:32.345Z,Ferry Street,E,42,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:08:37.409Z,Ferry Street,E,41,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:08:41.046Z,Ferry Street,E,39,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:08:58.677Z,Ferry Street,E,50,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:09:15.928Z,Ferry Street,E,54,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:09:25.257Z,Ferry Street,E,43,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:10:05.639Z,Ferry Street,E,40,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:10:12.222Z,Ferry Street,W,52,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:10:18.522Z,Ferry Street,E,47,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:10:46.837Z,Ferry Street,E,48,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:10:50.719Z,Ferry Street,E,53,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:11:03.236Z,Ferry Street,W,47,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:11:07.122Z,Ferry Street,W,40,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:11:12.336Z,Ferry Street,W,38,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:11:18.768Z,Ferry Street,W,42,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:11:53.669Z,Ferry Street,E,57,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:12:12.651Z,Ferry Street,E,52,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:12:20.400Z,Ferry Street,W,53,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:12:25.398Z,Ferry Street,W,57,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:12:29.362Z,Ferry Street,W,59,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:12:37.945Z,Ferry Street,E,54,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:12:46.530Z,Ferry Street,W,44,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:12:50.278Z,Ferry Street,W,41,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:12:54.614Z,Ferry Street,E,58,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:13:14.812Z,Ferry Street,E,35,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:13:34.978Z,Ferry Street,E,38,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:13:46.744Z,Ferry Street,E,48,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:13:50.757Z,Ferry Street,W,40,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:14:00.393Z,Ferry Street,E,46,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:14:05.109Z,Ferry Street,E,48,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:14:18.392Z,Ferry Street,E,55,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:14:22.975Z,Ferry Street,W,42,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:14:30.140Z,Ferry Street,E,44,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:14:34.675Z,Ferry Street,W,43,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:14:41.541Z,Ferry Street,W,40,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:14:46.391Z,Ferry Street,E,44,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:15:17.685Z,Ferry Street,W,45,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:15:21.285Z,Ferry Street,W,45,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:15:24.848Z,Ferry Street,W,44,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:15:33.183Z,Ferry Street,W,43,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:15:39.619Z,Ferry Street,E,46,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:15:45.700Z,Ferry Street,E,45,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:15:53.733Z,Ferry Street,E,44,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
2026-06-28T16:15:58.496Z,Ferry Street,W,48,06f0c6eb-7dcc-4d41-b318-4d56fa99ba41
